0,1,2,3,4,5,6,7
"('task_description', 'Describe how team leadership works')","('complexity', 'medium')","('bad_prompt', 'Tell me about team leadership.')","('good_prompt', 'You are an expert in organizational behavior and leadership theory. Describe the key components of effective team leadership, including specific strategies for motivation, conflict resolution, and performance management. Provide examples of how these strategies can be applied in a project-based work environment. Structure your response into clear sections for each component.')","('expected_answer', 'The ideal response would define team leadership, highlighting its importance in achieving team goals. It would then detail key components such as motivation (intrinsic/extrinsic, recognition, empowerment), conflict resolution (mediation, negotiation, establishing clear communication channels), and performance management (setting clear expectations, providing feedback, performance reviews). The response should also include practical examples of how these strategies can be implemented in a project-based setting, such as using agile methodologies for performance tracking or implementing specific conflict resolution processes.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Complete this paragraph about stress management')","('complexity', 'medium')","('bad_prompt', 'Write about stress management.')","('good_prompt', 'You are a stress management expert. Complete the following paragraph about stress management, providing practical and actionable advice. The paragraph should cover identifying stressors, coping mechanisms, and the importance of self-care. Include specific examples of each. The tone should be encouraging and supportive.\n\nStress management is crucial for maintaining overall well-being. It involves...')","('expected_answer', ""Stress management is crucial for maintaining overall well-being. It involves first identifying stressors, which can be anything from work deadlines and financial worries to relationship issues. Once identified, effective coping mechanisms are essential. These can include exercise, meditation, or engaging in hobbies. For example, a brisk walk can help clear your head, while deep breathing exercises can calm the nervous system. Finally, self-care is paramount. This means prioritizing activities that bring you joy and relaxation, such as reading a book, taking a bath, or spending time with loved ones. Remember, taking care of yourself is not selfish; it's necessary for managing stress and maintaining a healthy balance in life."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.COMPLETION: 'Completion Prompts'>)","('notes', None)"
"('task_description', 'Provide a brief overview of chaos theory applications')","('complexity', 'high')","('bad_prompt', 'What are some applications of chaos theory?')","('good_prompt', 'You are a complex systems expert. Please provide a detailed overview of the applications of chaos theory across various disciplines, including but not limited to physics, mathematics, biology, finance, and meteorology. For each application, explain how chaos theory is applied, what insights it provides, and any limitations or challenges in its application. Structure your response with clear headings for each discipline and specific examples within each section. Aim for a comprehensive and insightful explanation suitable for someone with a scientific background but not necessarily an expert in chaos theory.')","('expected_answer', 'The expected answer is a structured overview of chaos theory applications across multiple disciplines. It should include:\n\n*   **Physics:** Examples like chaotic behavior in nonlinear oscillators, fluid dynamics (turbulence), and weather systems.\n*   **Mathematics:** Discussion of fractals, strange attractors, and their relevance in dynamical systems.\n*   **Biology:** Applications in population dynamics, heart rhythms, and neural networks.\n*   **Finance:** Analysis of stock market fluctuations and economic cycles.\n*   **Meteorology:** Explanation of the butterfly effect and its implications for weather forecasting.\n\nFor each area, the response should explain the specific chaotic phenomena, the insights gained from applying chaos theory, and any limitations or challenges in using it (e.g., sensitivity to initial conditions, difficulty in long-term prediction). The response should be comprehensive and suitable for a scientifically literate audience.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.SUMMARIZATION: 'Summarization Prompts'>)","('notes', None)"
"('task_description', 'Describe how cellular processes works')","('complexity', 'medium')","('bad_prompt', 'Explain cellular processes.')","('good_prompt', 'You are a biology professor explaining cellular processes to undergraduate students. Describe the key cellular processes, including but not limited to DNA replication, transcription, translation, cellular respiration, and cell division (mitosis and meiosis). For each process, explain the purpose, the major steps involved, and the key molecules or organelles that participate. Use analogies to help the students understand the processes. Provide a comprehensive overview suitable for someone with a basic understanding of biology. Structure your answer in well-organized paragraphs.')","('expected_answer', 'The response should provide a detailed explanation of the specified cellular processes. It should cover the purpose, steps, and key components involved in each process. The explanation should be clear, concise, and suitable for an undergraduate level understanding, potentially including analogies to aid comprehension. The answer should be well-structured and organized, covering DNA replication, transcription, translation, cellular respiration, and cell division (mitosis and meiosis) comprehensively.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Explain evolutionary biology in moderate detail')","('complexity', 'medium')","('bad_prompt', 'Tell me about evolution.')","('good_prompt', 'You are a biology professor explaining evolutionary biology to undergraduate students. Explain the core concepts of evolutionary biology, including natural selection, genetic drift, gene flow, and mutation. Provide examples of each concept and explain how they contribute to the diversity of life. Also, explain the evidence supporting evolution, such as fossil records, comparative anatomy, and molecular biology. Structure your answer in a clear and organized manner, suitable for an introductory biology course.')","('expected_answer', 'The response should provide a comprehensive overview of evolutionary biology, covering the key mechanisms of evolution (natural selection, genetic drift, gene flow, and mutation) with clear explanations and examples. It should also discuss the evidence supporting evolution from various fields like paleontology, comparative anatomy, and molecular biology. The answer should be well-structured and easy to understand for someone with a basic understanding of biology.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Create a guide for career development')","('complexity', 'medium')","('bad_prompt', 'Tell me about career development.')","('good_prompt', 'You are a career coach. Your task is to create a comprehensive guide for individuals looking to advance their careers. The guide should cover the following areas:\n\n1.  **Self-Assessment:**\n    *   Identifying strengths, weaknesses, values, and interests.\n    *   Tools and techniques for self-assessment (e.g., personality tests, skills inventories).\n2.  **Goal Setting:**\n    *   Setting SMART (Specific, Measurable, Achievable, Relevant, Time-bound) career goals.\n    *   Breaking down long-term goals into short-term objectives.\n3.  **Skill Development:**\n    *   Identifying skills needed for desired career paths.\n    *   Strategies for acquiring new skills (e.g., online courses, workshops, on-the-job training).\n4.  **Networking:**\n    *   Building and maintaining professional relationships.\n    *   Effective networking strategies (e.g., attending industry events, using social media).\n5.  **Job Searching:**\n    *   Crafting effective resumes and cover letters.\n    *   Interview preparation techniques.\n6.  **Continuous Learning:**\n    *   The importance of staying updated with industry trends.\n    *   Resources for continuous learning and professional development.\n\nProvide actionable advice and practical examples for each area. Structure the guide in a clear and organized manner, using headings and subheadings for easy navigation. Include a brief introduction explaining the importance of career development and a conclusion summarizing the key takeaways.')","('expected_answer', 'The expected answer is a detailed and well-structured guide covering all the areas mentioned in the prompt (self-assessment, goal setting, skill development, networking, job searching, and continuous learning). It should provide actionable advice, practical examples, and be organized for easy readability. The introduction should highlight the importance of career development, and the conclusion should summarize the main points.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INSTRUCTIONAL: 'Instructional Prompts'>)","('notes', None)"
"('task_description', 'Create a concise summary of philosophical theories')","('complexity', 'high')","('bad_prompt', 'Summarize philosophical theories.')","('good_prompt', 'You are a philosophy professor. Your task is to provide concise summaries of major philosophical theories. For each theory, include the main proponents, core ideas, and significant criticisms. Focus on the following theories: Platonism, Aristotelianism, Existentialism, Utilitarianism, and Deontology. Use a structured format with clear headings for each theory, and subheadings for proponents, core ideas, and criticisms. Aim for a summary of approximately 150-200 words per theory. Use CONTEXTUAL_PROMPTING to provide background information on each theory before summarizing it.')","('expected_answer', 'A JSON formatted response containing summaries of Platonism, Aristotelianism, Existentialism, Utilitarianism, and Deontology. Each summary should include the main proponents, core ideas, and significant criticisms, and be approximately 150-200 words in length. The response should be well-structured and easy to read.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.SUMMARIZATION: 'Summarization Prompts'>)","('notes', None)"
"('task_description', 'Analyze the implications of basic arithmetic')","('complexity', 'low')","('bad_prompt', 'What are the implications of addition?')","('good_prompt', 'You are an expert mathematician. Explain the implications of addition in mathematics and its applications in real-world scenarios. Provide at least three distinct implications, elaborating on each with examples. Structure your response clearly and concisely.')","('expected_answer', 'Addition, as a fundamental arithmetic operation, has several key implications:\n\n1.  **Combining Quantities:** Addition allows us to combine two or more quantities to find a total. For example, if you have 3 apples and someone gives you 2 more, addition (3 + 2 = 5) tells you that you now have 5 apples.\n\n2.  **Increasing Values:** Addition results in an increase in value, unless adding zero. This is crucial in various applications like calculating profits (revenue + gains) or population growth (births + immigration).\n\n3.  **Sequential Counting:** Addition can be seen as a form of sequential counting. Adding 1 repeatedly allows us to count upwards. This is fundamental to understanding number sequences and patterns.\n\n4. **Aggregation:** Addition allows us to aggregate values across different categories. For example, a business might add up sales figures from different regions to get a total sales number.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.ANALYSIS_CRITIQUE: 'Analysis or Critique Prompts'>)","('notes', None)"
"('task_description', 'Take on the role of a advanced economics consultant')","('complexity', 'high')","('bad_prompt', 'What are the economic effects of quantitative easing?')","('good_prompt', ""You are an advanced economics consultant advising a central bank. The central bank is considering implementing quantitative easing (QE) in response to a deflationary environment and a recession. \n\n1.  Define quantitative easing and explain the mechanisms through which it is expected to influence the economy.\n2.  Analyze the potential benefits of QE in the current economic context, including its impact on inflation, employment, and financial stability. Consider both short-term and long-term effects.\n3.  Evaluate the potential risks and drawbacks of QE, such as asset bubbles, moral hazard, and distributional effects. Provide specific examples of countries where these risks have materialized.\n4.  Compare and contrast QE with other monetary policy tools, such as negative interest rates and forward guidance, discussing the circumstances under which each tool might be most effective.\n5.  Recommend whether or not the central bank should implement QE, justifying your recommendation with a balanced assessment of the potential benefits and risks. Include specific policy recommendations for mitigating the identified risks.\n\nStructure your response in a clear and concise report format, suitable for presentation to the central bank's board of directors. Support your analysis with relevant economic data and academic research."")","('expected_answer', 'The ideal output would be a structured report that defines QE, analyzes its benefits (inflation boost, employment increase, financial stability), and risks (asset bubbles, moral hazard, wealth inequality) with supporting data and examples. It should compare QE to other monetary policies and provide a well-reasoned recommendation on whether to implement QE, along with specific risk mitigation strategies. The response should demonstrate a deep understanding of monetary policy and its potential consequences.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>])","('prompt_type', <PromptType.ROLE_PLAYING: 'Role-Playing Prompts'>)","('notes', None)"
"('task_description', 'Clarify the purpose of each section in this extended mind theory implementation')","('complexity', 'high')","('bad_prompt', 'Explain what each part of this code does:\n\n```python\nclass ExtendedMind:\n    def __init__(self, external_memory=None):\n        self.external_memory = external_memory or {}\n\n    def store(self, thought, location):\n        self.external_memory[location] = thought\n\n    def retrieve(self, location):\n        return self.external_memory.get(location)\n\n    def think(self, query):\n        # Simulate thinking - simplified information processing\n        if query in self.external_memory:\n            return f""Recalling from external memory: {self.retrieve(query)}""\n        else:\n            return ""I need to think about that... (information not in external memory)""\n\n# Example Usage\nmy_mind = ExtendedMind()\nmy_mind.store(""Meeting is at 2 PM"", ""calendar"")\nmy_mind.store(""Milk and eggs"", ""grocery_list"")\n\nprint(my_mind.think(""calendar""))\nprint(my_mind.think(""grocery_list""))\nprint(my_mind.think(""weather""))\n```')","('good_prompt', 'You are a senior software engineer reviewing code. Your task is to provide detailed documentation for the following Python code implementing the Extended Mind Theory. For each of the following sections, explain its purpose, functionality, and relationship to the overall concept of the Extended Mind Theory. Be specific about how each part contributes to the idea of offloading cognitive processes to external tools or systems. Structure your answer clearly, with a section for each part of the code, and a final summary relating everything back to the Extended Mind Theory.\n\n```python\nclass ExtendedMind:\n    def __init__(self, external_memory=None):\n        self.external_memory = external_memory or {}\n\n    def store(self, thought, location):\n        self.external_memory[location] = thought\n\n    def retrieve(self, location):\n        return self.external_memory.get(location)\n\n    def think(self, query):\n        # Simulate thinking - simplified information processing\n        if query in self.external_memory:\n            return f""Recalling from external memory: {self.retrieve(query)}""\n        else:\n            return ""I need to think about that... (information not in external memory)""\n\n# Example Usage\nmy_mind = ExtendedMind()\nmy_mind.store(""Meeting is at 2 PM"", ""calendar"")\nmy_mind.store(""Milk and eggs"", ""grocery_list"")\n\nprint(my_mind.think(""calendar""))\nprint(my_mind.think(""grocery_list""))\nprint(my_mind.think(""weather""))\n```')","('expected_answer', ""The response should be a structured explanation of the Python code, broken down by section:\n\n*   `ExtendedMind Class`: Explanation of the class's purpose as a representation of the extended mind concept, highlighting how it encapsulates the idea of external cognitive resources.\n*   `__init__ Method`: Explanation of the constructor, focusing on how it initializes the `external_memory` attribute (a dictionary) to represent external storage.\n*   `store Method`: Explanation of how this method simulates storing information in an external location, emphasizing its role in offloading memory.\n*   `retrieve Method`: Explanation of how this method simulates retrieving information from external memory, highlighting its connection to accessing external cognitive resources.\n*   `think Method`: Explanation of how this method simulates the thinking process, including checking external memory and responding accordingly. Discuss the simplification of information processing.\n*   `Example Usage`: Explanation of how the example demonstrates the use of the `ExtendedMind` class, showing the storage and retrieval of information.\n*   `Summary`: A concise summary of how the code implements the core principles of the Extended Mind Theory, emphasizing the interaction between internal and external cognitive processes."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CODE_PROMPTING: 'Code prompting'>])","('prompt_type', <PromptType.CODE_EXPLANATION: 'Code Explanation Prompts'>)","('notes', None)"
"('task_description', 'Address common questions on weather patterns')","('complexity', 'low')","('bad_prompt', 'Tell me about the weather.')","('good_prompt', 'You are a helpful weather expert. Please explain the difference between weather and climate in simple terms, and give three examples of different types of weather phenomena, such as thunderstorms, hurricanes, or heatwaves. For each weather phenomena, briefly describe the conditions that cause it.')","('expected_answer', 'The response should clearly differentiate between weather (short-term atmospheric conditions) and climate (long-term patterns). It should then list and describe three distinct weather phenomena, explaining the atmospheric conditions that lead to each one. The explanations should be easy to understand.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Provide information about artificial intelligence')","('complexity', 'medium')","('bad_prompt', 'Tell me about artificial intelligence.')","('good_prompt', 'You are an expert in artificial intelligence. Please provide a comprehensive overview of AI, including its history, different types (e.g., machine learning, deep learning, natural language processing), key applications across various industries, and potential future trends. Also, discuss the ethical considerations surrounding AI development and deployment. Structure your response in a clear and organized manner, using headings and subheadings where appropriate.')","('expected_answer', 'The ideal response would be a well-structured and detailed explanation of artificial intelligence. It should cover the history of AI, define and differentiate between various types of AI (machine learning, deep learning, NLP, etc.), provide real-world examples of AI applications in different sectors (healthcare, finance, transportation, etc.), discuss emerging trends like explainable AI and federated learning, and address ethical concerns such as bias, job displacement, and privacy. The answer should be comprehensive, informative, and easy to understand.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
